iter	MultiClass
0	1.029954306
1	0.9753296053
2	0.9332918284
3	0.8980979899
4	0.8681947264
5	0.8448640564
6	0.8229091381
7	0.8056397378
8	0.7910360485
9	0.7777673165
10	0.7656539726
11	0.7555849163
12	0.7471787957
13	0.7395445377
14	0.7343296385
15	0.7285437925
16	0.7233678361
17	0.7191128049
18	0.7151988669
19	0.711294886
20	0.708201295
21	0.70533439
22	0.7030701198
23	0.7000743296
24	0.6981103292
25	0.6963672157
26	0.6941427543
27	0.693032627
28	0.6915981718
29	0.6898031517
30	0.6884728628
31	0.6869943141
32	0.6856137308
33	0.6847005235
34	0.6837250014
35	0.6819862435
36	0.6810173948
37	0.6805831765
38	0.6797126899
39	0.6782580425
40	0.6777006872
41	0.6768848413
42	0.6759928029
43	0.6754082202
44	0.6747185072
45	0.674376286
46	0.6740590287
47	0.6737001476
48	0.6730680435
49	0.6726673457
50	0.6720872771
51	0.6717715973
52	0.6711883422
53	0.6709999476
54	0.6705577181
55	0.670194417
56	0.6698058215
57	0.669485944
58	0.6691442169
59	0.6690013938
60	0.6681410336
61	0.6677439572
62	0.6674629834
63	0.6667754819
64	0.6662015399
65	0.6656426243
66	0.6654899224
67	0.6651831763
68	0.6649542427
69	0.6642977528
70	0.6639942798
71	0.6634806024
72	0.6632823838
73	0.6630277765
74	0.6624665858
75	0.6622689325
76	0.6621063851
77	0.6617137016
78	0.6613363811
79	0.6611713346
80	0.6609535072
81	0.6606848634
82	0.6603891562
83	0.6601525039
84	0.6599290441
85	0.6595085363
86	0.6591292107
87	0.6585590825
88	0.6581788644
89	0.657967512
90	0.6576658538
91	0.6574531028
92	0.6572388822
93	0.6569430069
94	0.6567714193
95	0.6566501171
96	0.6562787014
97	0.6561890674
98	0.6559725474
99	0.6558490086
100	0.6556574205
101	0.6555322918
102	0.6554234503
103	0.6552731227
104	0.65513717
105	0.6550258277
106	0.6543045593
107	0.6538800083
108	0.6536160494
109	0.6533418299
110	0.6532164733
111	0.652992118
112	0.6528782556
113	0.6525769287
114	0.6524201593
115	0.6522341698
116	0.6520691944
117	0.6516198906
118	0.6513042468
119	0.651056213
120	0.6508121899
121	0.650642251
122	0.6503956255
123	0.6500368709
124	0.6495588374
125	0.649392513
126	0.6492105832
127	0.6489710662
128	0.6484847391
129	0.648128015
130	0.6479006806
131	0.6477515511
132	0.6475282643
133	0.6470914916
134	0.6470273591
135	0.646851116
136	0.6465927108
137	0.6462872546
138	0.6461315855
139	0.6460429162
140	0.6457273512
141	0.6456036111
142	0.6454388699
143	0.6452456559
144	0.6450892234
145	0.644942357
146	0.6446788233
147	0.6444415062
148	0.6442654739
149	0.6441453111
150	0.6438720635
151	0.6438090399
152	0.6433877965
153	0.6431179136
154	0.6427501296
155	0.642594893
156	0.6424558735
157	0.6421967651
158	0.641944736
159	0.6417413111
160	0.6416305671
161	0.6414929336
162	0.6413342527
163	0.6410903778
164	0.6407829069
165	0.6406424517
166	0.6405218549
167	0.6403921167
168	0.6402755755
169	0.640213596
170	0.6400503502
171	0.6398133457
172	0.6396459337
173	0.6394659003
174	0.6393578152
175	0.6392092234
176	0.639108756
177	0.6389602528
178	0.6386756867
179	0.6384897141
180	0.6383023496
181	0.638229279
